square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-01,-34,-32,-19,-42,-48,-48,-52,-44
s-01,-32,-34,-20,-42,-48,-48,-52,-46
s-01,-30,-32,-19,-42,-48,-48,-48,-40
s-01,-30,-34,-19,-42,-48,-52,-48,-46
s-01,-30,-34,-19,-42,-48,-50,-50,-46
s-01,-30,-32,-19,-42,-48,-50,-52,-44
s-01,-32,-32,-19,-38,-52,-52,-50,-42
s-01,-32,-32,-19,-40,-52,-50,-50,-42
s-01,-30,-32,-28,-40,-52,-52,-50,-42
s-01,-32,-32,-19,-38,-52,-68,-52,-44
s-01,-32,-32,-19,-38,-50,-50,-50,-42
s-01,-32,-32,-76,-40,-48,-50,-50,-42
s-01,-30,-32,-20,-40,-52,-52,-50,-42
s-01,-30,-36,-20,-40,-48,-52,-48,-42
