square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-36,-20,-38,-30,-64,-58,-50,-60,-60,D8:07:B6:6E:4E:F4
s-01,-36,-20,-38,-32,-64,-58,-50,-60,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-60,-76,-64,-58,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-58,-58,-48,-68,-66,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-34,-72,-58,-48,-72,-66,D8:07:B6:6E:4E:F4
s-01,-36,-72,-38,-34,-64,-58,-48,-56,-62,D8:07:B6:6E:4E:0A
s-01,-36,-20,-38,-36,-64,-58,-48,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-24,-76,-34,-64,-58,-76,-60,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-36,-62,-58,-56,-56,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-62,-60,-56,-56,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-32,-62,-60,-56,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-38,-32,-62,-58,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-68,-20,-38,-32,-62,-58,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-40,-20,-40,-32,-64,-56,-46,-60,-64,D8:07:B6:6E:4E:F4
s-01,-38,-70,-36,-32,-58,-58,-46,-66,-62,D8:07:B6:6E:4E:0A
s-01,-38,-60,-36,-32,-62,-58,-48,-66,-62,D8:07:B6:6E:4E:0A
s-01,-56,-22,-36,-32,-64,-58,-48,-66,-62,D8:07:B6:6E:4E:F4
s-01,-36,-20,-38,-32,-62,-58,-48,-66,-62,D8:07:B6:6E:4E:F4
s-01,-36,-20,-38,-32,-56,-58,-44,-60,-62,D8:07:B6:6E:4E:F4
s-01,-40,-66,-38,-34,-56,-58,-46,-60,-62,D8:07:B6:6E:4E:0A
s-01,-40,-20,-38,-34,-56,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
s-01,-40,-20,-38,-34,-78,-56,-46,-60,-62,D8:07:B6:6E:4E:F4
