square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-38,-40,-52,-28,-60,-46,-42,-66,-54,D8:07:B6:6E:4E:0A
s-03,-38,-38,-52,-30,-60,-46,-42,-60,-54,D8:07:B6:6E:4E:0A
s-03,-38,-56,-30,-28,-54,-46,-60,-48,-58,D8:07:B6:6E:4E:0A
s-03,-60,-56,-30,-28,-56,-46,-68,-42,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-56,-44,-68,-50,-54,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-56,-44,-68,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-52,-54,-44,-68,-46,-56,D8:07:B6:6E:4F:80
s-03,-40,-38,-32,-52,-54,-48,-46,-46,-56,D8:07:B6:6E:4F:80
s-03,-40,-38,-58,-56,-50,-52,-46,-42,-58,D8:07:B6:6E:4E:F4
s-03,-40,-36,-58,-56,-50,-52,-46,-42,-54,D8:07:B6:6E:4E:F4
s-03,-40,-36,-30,-32,-50,-46,-42,-42,-50,D8:07:B6:6E:4F:80
s-03,-42,-36,-28,-32,-56,-52,-68,-60,-56,D8:07:B6:6E:4F:80
s-03,-42,-56,-50,-28,-56,-52,-68,-60,-58,D8:07:B6:6E:4E:0A
s-03,-42,-40,-48,-28,-68,-52,-46,-60,-50,D8:07:B6:6E:4E:0A
s-03,-42,-38,-58,-28,-68,-56,-46,-48,-54,D8:07:B6:6E:4E:0A
s-03,-42,-38,-26,-56,-54,-56,-46,-48,-56,D8:07:B6:6E:4F:80
s-03,-42,-40,-32,-30,-54,-56,-46,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-30,-54,-56,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-72,-56,-30,-24,-54,-56,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-40,-68,-28,-60,-56,-46,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-68,-28,-60,-50,-46,-50,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-68,-28,-60,-52,-46,-44,-56,D8:07:B6:6E:4E:0A
s-03,-42,-36,-30,-30,-60,-48,-46,-44,-60,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-52,-48,-44,-44,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-30,-54,-48,-44,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-68,-54,-48,-46,-48,-54,D8:07:B6:6E:4F:80
s-03,-42,-38,-30,-30,-52,-48,-48,-48,-56,D8:07:B6:6E:4E:0A
s-03,-42,-38,-32,-28,-52,-48,-48,-50,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-52,-48,-48,-44,-56,D8:07:B6:6E:4E:0A
s-03,-42,-56,-48,-58,-58,-48,-46,-48,-56,98:DE:D0:8F:0A:38
s-03,-42,-38,-30,-58,-58,-60,-46,-48,-60,D8:07:B6:6E:4F:80
s-03,-40,-38,-66,-28,-58,-60,-46,-48,-52,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-58,-48,-46,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-58,-48,-46,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-58,-48,-50,-50,-56,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-48,-48,-50,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-44,-32,-28,-76,-48,-50,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-58,-28,-48,-48,-50,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-54,-70,-52,-50,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-54,-70,-50,-44,-56,D8:07:B6:6E:4E:0A
s-03,-40,-60,-30,-28,-54,-70,-50,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-52,-60,-50,-48,-56,D8:07:B6:6E:4E:0A
s-03,-42,-56,-30,-44,-52,-48,-50,-48,-56,D8:07:B6:6E:4F:80
s-03,-40,-56,-30,-26,-52,-48,-50,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-26,-56,-46,-48,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-56,-48,-48,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-30,-52,-48,-48,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-72,-48,-44,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-42,-50,-68,-56,D8:07:B6:6E:4E:0A
s-03,-42,-38,-32,-44,-54,-46,-50,-46,-56,D8:07:B6:6E:4F:80
s-03,-42,-52,-48,-28,-54,-46,-50,-44,-56,D8:07:B6:6E:4E:0A
s-03,-42,-52,-32,-30,-54,-46,-46,-48,-60,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-54,-48,-46,-46,-56,D8:07:B6:6E:4E:0A
s-03,-38,-38,-30,-28,-56,-48,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-38,-38,-32,-28,-54,-48,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-44,-30,-48,-54,-56,-46,-46,-56,D8:07:B6:6E:4F:80
s-03,-42,-40,-30,-28,-54,-48,-46,-46,-54,D8:07:B6:6E:4E:0A
s-03,-40,-56,-32,-28,-52,-48,-48,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-44,-28,-52,-48,-48,-46,-56,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-30,-52,-48,-48,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-54,-48,-48,-48,-56,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-48,-48,-50,-52,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-54,-48,-50,-48,-58,D8:07:B6:6E:4E:0A
